"filename", "language", "C#", "ASP.NET Razor", "XML", "JSON", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/appsettings.json", "JSON", 0, 0, 0, -21, 0, 0, 0, 0, -2, -23
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/css/site.css", "PostCSS", 0, 0, 0, 0, -25, 0, 0, 0, -6, -31
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/js/site.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -3, -2, -5
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-grid.css", "PostCSS", 0, 0, 0, 0, -3886, 0, 0, -6, -193, -4085
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-grid.min.css", "PostCSS", 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-grid.rtl.css", "PostCSS", 0, 0, 0, 0, -3886, 0, 0, -6, -192, -4084
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-grid.rtl.min.css", "PostCSS", 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-reboot.css", "PostCSS", 0, 0, 0, 0, -518, 0, 0, -14, -65, -597
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-reboot.min.css", "PostCSS", 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-reboot.rtl.css", "PostCSS", 0, 0, 0, 0, -524, 0, 0, -6, -64, -594
